Date,Source,Open,High,Low,Close,Adj Close,Volume,Stock
11/1/2016,yahoo,799,800.840027,776.710022,785.409973,785.409973,5305400,amazon
11/2/2016,yahoo,783.929993,784.75,763.549988,765.559998,765.559998,5026500,amazon
11/3/2016,yahoo,765.049988,777,764,767.030029,767.030029,3872500,amazon
11/4/2016,yahoo,762.789978,766,753.22998,755.049988,755.049988,5122100,amazon
11/7/2016,yahoo,771.640015,787.72998,770.940002,784.929993,784.929993,5984400,amazon
11/8/2016,yahoo,784.969971,791.73999,779.099976,787.75,787.75,3412600,amazon
11/9/2016,yahoo,764,777.5,760.090027,771.880005,771.880005,8562900,amazon
11/10/2016,yahoo,778.809998,778.830017,717.700012,742.380005,742.380005,12747000,amazon
11/11/2016,yahoo,735.72998,743.26001,728.900024,739.01001,739.01001,6622800,amazon
11/14/2016,yahoo,745.51001,746,710.099976,719.070007,719.070007,7321300,amazon
11/15/2016,yahoo,730,746.780029,725.98999,743.23999,743.23999,6755800,amazon
11/16/2016,yahoo,739.880005,749.869995,735.609985,746.48999,746.48999,3648800,amazon
11/17/2016,yahoo,749.320007,757.5,748,756.400024,756.400024,3690100,amazon
11/18/2016,yahoo,761,767.73999,757.640015,760.159973,760.159973,4373400,amazon
11/21/2016,yahoo,766,780.349976,765.109985,780,780,4614600,amazon
11/22/2016,yahoo,788.169983,792.400024,781,785.330017,785.330017,5311300,amazon
11/23/2016,yahoo,781.72998,781.75,773.119995,780.119995,780.119995,3540300,amazon
11/25/2016,yahoo,786.5,786.75,777.900024,780.369995,780.369995,1837100,amazon
11/28/2016,yahoo,776.98999,777,764.23999,766.77002,766.77002,4438800,amazon
11/29/2016,yahoo,768,769.890015,761.320007,762.52002,762.52002,3272300,amazon
11/30/2016,yahoo,762,768.090027,750.25,750.570007,750.570007,4625900,amazon
12/1/2016,yahoo,752.409973,753.369995,738.030029,743.650024,743.650024,4666000,amazon
12/2/2016,yahoo,743.400024,748.48999,736.700012,740.340027,740.340027,3561300,amazon
12/5/2016,yahoo,745,761.48999,742,759.359985,759.359985,4314700,amazon
12/6/2016,yahoo,763.98999,768.23999,757.25,764.719971,764.719971,3794700,amazon
12/7/2016,yahoo,764.549988,770.419983,755.820007,770.419983,770.419983,3684900,amazon
12/8/2016,yahoo,771.869995,773.789978,765.190002,767.330017,767.330017,3189600,amazon
12/9/2016,yahoo,770,770.25,765.340027,768.659973,768.659973,2470900,amazon
12/12/2016,yahoo,766.400024,766.890015,757.200012,760.119995,760.119995,2963900,amazon
12/13/2016,yahoo,764.960022,782.460022,762,774.340027,774.340027,5285300,amazon
12/14/2016,yahoo,778.25,780.859985,762.809998,768.820007,768.820007,5454800,amazon
12/15/2016,yahoo,766.280029,769.099976,760.309998,761,761,3801900,amazon
12/16/2016,yahoo,765,765.130005,754,757.77002,757.77002,4848200,amazon
12/19/2016,yahoo,758.890015,770.5,756.159973,766,766,3113200,amazon
12/20/2016,yahoo,768.650024,774.390015,767.710022,771.219971,771.219971,2703600,amazon
12/21/2016,yahoo,770,771.219971,765.700012,770.599976,770.599976,2044600,amazon
12/22/2016,yahoo,768.119995,771.210022,763.02002,766.340027,766.340027,2543600,amazon
12/23/2016,yahoo,764.549988,766.5,757.98999,760.590027,760.590027,1981600,amazon
12/27/2016,yahoo,763.400024,774.650024,761.200012,771.400024,771.400024,2638700,amazon
12/28/2016,yahoo,776.25,780,770.5,772.130005,772.130005,3301000,amazon
12/29/2016,yahoo,772.400024,773.400024,760.849976,765.150024,765.150024,3158300,amazon
12/30/2016,yahoo,766.469971,767.400024,748.280029,749.869995,749.869995,4139400,amazon
1/3/2017,yahoo,757.919983,758.76001,747.700012,753.669983,753.669983,3521100,amazon
1/4/2017,yahoo,758.390015,759.679993,754.200012,757.179993,757.179993,2510500,amazon
1/5/2017,yahoo,761.549988,782.400024,760.26001,780.450012,780.450012,5830100,amazon
1/6/2017,yahoo,782.359985,799.440002,778.47998,795.98999,795.98999,5986200,amazon
1/9/2017,yahoo,798,801.77002,791.77002,796.919983,796.919983,3446100,amazon
1/10/2017,yahoo,796.599976,798,789.539978,795.900024,795.900024,2558400,amazon
1/11/2017,yahoo,793.659973,799.5,789.51001,799.02002,799.02002,2992800,amazon
1/12/2017,yahoo,800.309998,814.130005,799.5,813.640015,813.640015,4873900,amazon
1/13/2017,yahoo,814.320007,821.650024,811.400024,817.140015,817.140015,3791900,amazon
1/17/2017,yahoo,815.700012,816,803.440002,809.719971,809.719971,3670500,amazon
1/18/2017,yahoo,809.5,811.72998,804.27002,807.47998,807.47998,2354200,amazon
1/19/2017,yahoo,810,813.51001,807.320007,809.039978,809.039978,2540800,amazon
1/20/2017,yahoo,815.280029,816.02002,806.26001,808.330017,808.330017,3376200,amazon
1/23/2017,yahoo,806.799988,818.5,805.080017,817.880005,817.880005,2797500,amazon
1/24/2017,yahoo,822,823.98999,814.5,822.440002,822.440002,2971700,amazon
1/25/2017,yahoo,825.789978,837.419983,825.289978,836.52002,836.52002,3922600,amazon
1/26/2017,yahoo,835.530029,843.840027,833,839.150024,839.150024,3586300,amazon
1/27/2017,yahoo,839,839.700012,829.440002,835.77002,835.77002,2998700,amazon
1/30/2017,yahoo,833,833.5,816.380005,830.380005,830.380005,3747300,amazon
1/31/2017,yahoo,823.75,826.98999,819.559998,823.47998,823.47998,3137200,amazon
2/1/2017,yahoo,829.210022,833.780029,824.940002,832.349976,832.349976,3850200,amazon
2/2/2017,yahoo,836.590027,842.48999,828.26001,839.950012,839.950012,7350500,amazon
2/3/2017,yahoo,806.719971,818.299988,804,810.200012,810.200012,10868800,amazon
2/6/2017,yahoo,809.799988,810.719971,803,807.640015,807.640015,3897300,amazon
2/7/2017,yahoo,809.309998,816.159973,807.5,812.5,812.5,3466100,amazon
2/8/2017,yahoo,812.690002,821.47998,812.5,819.710022,819.710022,2858000,amazon
2/9/2017,yahoo,821.599976,825,819.710022,821.359985,821.359985,2484900,amazon
2/10/2017,yahoo,823.820007,828,822.849976,827.460022,827.460022,2429600,amazon
2/13/2017,yahoo,831.619995,843,828.549988,836.530029,836.530029,4172600,amazon
2/14/2017,yahoo,837,838.309998,831.450012,836.390015,836.390015,2792400,amazon
2/15/2017,yahoo,834,842.809998,832.820007,842.700012,842.700012,2968900,amazon
2/16/2017,yahoo,841.840027,845,839.380005,844.140015,844.140015,2714700,amazon
2/17/2017,yahoo,842,847.27002,840.72998,845.070007,845.070007,3112300,amazon
2/21/2017,yahoo,848.840027,857.97998,847.25,856.440002,856.440002,3507700,amazon
2/22/2017,yahoo,856.950012,858.429993,852.179993,855.609985,855.609985,2617000,amazon
2/23/2017,yahoo,857.570007,860.859985,848,852.190002,852.190002,3462000,amazon
2/24/2017,yahoo,844.690002,845.809998,837.75,845.23999,845.23999,3688000,amazon
2/27/2017,yahoo,842.380005,852.5,839.669983,848.640015,848.640015,2713600,amazon
2/28/2017,yahoo,851.450012,854.090027,842.049988,845.039978,845.039978,2793700,amazon
3/1/2017,yahoo,853.049988,854.830017,849.01001,853.080017,853.080017,2760100,amazon
3/2/2017,yahoo,853.080017,854.820007,847.280029,848.909973,848.909973,2132100,amazon
3/3/2017,yahoo,847.200012,851.98999,846.27002,849.880005,849.880005,1941100,amazon
3/6/2017,yahoo,845.22998,848.48999,841.119995,846.609985,846.609985,2610400,amazon
3/7/2017,yahoo,845.47998,848.460022,843.75,846.02002,846.02002,2247600,amazon
3/8/2017,yahoo,848,853.070007,846.789978,850.5,850.5,2286500,amazon
3/9/2017,yahoo,851,856.400024,850.309998,853,853,2048200,amazon
